,Unnamed: 0,HOMEM,LA/RO,FORD,BUICK,CHEVR,DODGE,PORSC,INTER,ME/BE,JEEP,GMC,BMW,POLAR,KAWAS,HA/DA,VOLKS,CHRYS,VOLVO,LINCO,CADIL,NISSA,YAMAH,HONDA,TOYOT,AUDI,SUBAR,CA/ON,TESLA,MAZDA,FREIG,MITSU,LEXUS,HYUND,KIA,RAM,INFIN,ACURA,Zip,Classified Income
1435,0.837711617046118,0.0005837711617046118,0.0011675423234092236,0.02568593111500292,0.0011675423234092236,0.01576182136602452,0.0070052539404553416,0.0017513134851138354,0.0011675423234092236,0.002918855808523059,0.008172796263864565,0.009340338587273789,0.002335084646818447,0.002918855808523059,0.0011675423234092236,0.004086398131932283,0.004670169293636894,0.0,0.002335084646818447,0.0011675423234092236,0.0005837711617046118,0.0035026269702276708,0.0011675423234092236,0.008756567425569177,0.014594279042615295,0.005253940455341506,0.017513134851138354,0.0,0.0017513134851138354,0.002918855808523059,0.0,0.0,0.0005837711617046118,0.007589025102159953,0.0011675423234092236,0.002335084646818447,0.0,0.0011675423234092236,12459,3
1436,0.9516235917826376,0.0006626905235255136,0.0,0.0019880715705765406,0.0,0.008614976805831677,0.0013253810470510272,0.0013253810470510272,0.0,0.0013253810470510272,0.0013253810470510272,0.0019880715705765406,0.0006626905235255136,0.0,0.0,0.0,0.0013253810470510272,0.0,0.0,0.0,0.0,0.0019880715705765406,0.0,0.004638833664678595,0.010603048376408217,0.0006626905235255136,0.005964214711729622,0.0,0.0006626905235255136,0.0019880715705765406,0.0,0.0,0.0,0.0,0.0,0.0006626905235255136,0.0,0.0006626905235255136,12530,4
1437,0.7342871742462953,0.0025549310168625446,0.0025549310168625446,0.06489524782830863,0.0015329586101175269,0.03525804803270312,0.008175779253960144,0.000510986203372509,0.0035769034236075624,0.010730710270822688,0.015840572304547777,0.007153806847215125,0.005620848237097598,0.0,0.0,0.001021972406745018,0.008175779253960144,0.002043944813490036,0.012774655084312723,0.001021972406745018,0.0030659172202350538,0.0035769034236075624,0.0,0.011241696474195196,0.030659172202350538,0.005620848237097598,0.010730710270822688,0.001021972406745018,0.002043944813490036,0.0015329586101175269,0.0015329586101175269,0.0,0.002043944813490036,0.0035769034236075624,0.002043944813490036,0.0030659172202350538,0.0,0.000510986203372509,6390,0
1438,0.5522273425499232,0.008448540706605223,0.002688172043010753,0.05952380952380952,0.002304147465437788,0.04646697388632873,0.011136712749615975,0.002688172043010753,0.007296466973886329,0.004608294930875576,0.026881720430107527,0.018433179723502304,0.009216589861751152,0.001152073732718894,0.001152073732718894,0.006144393241167435,0.01152073732718894,0.004224270353302612,0.0069124423963133645,0.001152073732718894,0.002688172043010753,0.015360983102918587,0.0019201228878648233,0.030721966205837174,0.05337941628264209,0.007296466973886329,0.05414746543778802,0.008832565284178187,0.0034562211981566822,0.005376344086021506,0.0,0.001152073732718894,0.0019201228878648233,0.010368663594470046,0.006144393241167435,0.011136712749615975,0.00038402457757296467,0.0015360983102918587,12502,2
1439,0.9473337722185649,0.0013166556945358788,0.0,0.008558262014483212,0.0006583278472679394,0.007899934167215274,0.0032916392363396972,0.0,0.0,0.0,0.0,0.0026333113890717576,0.0,0.0,0.0,0.0006583278472679394,0.0,0.0013166556945358788,0.0013166556945358788,0.0006583278472679394,0.0,0.0013166556945358788,0.0,0.0032916392363396972,0.0065832784726793945,0.0013166556945358788,0.0013166556945358788,0.003949967083607637,0.0006583278472679394,0.0,0.0032916392363396972,0.0,0.0,0.0,0.0006583278472679394,0.0019749835418038184,0.0,0.0,13845,1
1440,0.5161290322580645,0.003942652329749104,0.0032258064516129032,0.053763440860215055,0.0035842293906810036,0.04014336917562724,0.014695340501792114,0.001075268817204301,0.001075268817204301,0.0060931899641577065,0.026164874551971327,0.02007168458781362,0.005376344086021506,0.0025089605734767025,0.002150537634408602,0.0064516129032258064,0.024372759856630826,0.005017921146953405,0.00931899641577061,0.001075268817204301,0.0017921146953405018,0.025806451612903226,0.005017921146953405,0.04516129032258064,0.06057347670250896,0.005734767025089606,0.04802867383512545,0.0035842293906810036,0.002867383512544803,0.004659498207885305,0.0032258064516129032,0.0014336917562724014,0.001075268817204301,0.01827956989247312,0.011827956989247311,0.012186379928315413,0.0017921146953405018,0.0007168458781362007,12481,2
1441,0.5386915887850467,0.0,0.0014953271028037382,0.007102803738317757,0.00485981308411215,0.011588785046728972,0.00037383177570093456,0.0022429906542056075,0.0,0.0388785046728972,0.011588785046728972,0.001869158878504673,0.021682242990654205,0.0,0.0,0.0011214953271028037,0.007850467289719627,0.0007476635514018691,0.011214953271028037,0.00485981308411215,0.010467289719626169,0.02542056074766355,0.0,0.04710280373831776,0.059439252336448596,0.017196261682242992,0.03514018691588785,0.0,0.0029906542056074765,0.0097196261682243,0.0,0.00037383177570093456,0.07289719626168224,0.025046728971962615,0.005233644859813084,0.0011214953271028037,0.007102803738317757,0.014579439252336448,11005,2
1442,0.8092031425364759,0.001122334455667789,0.0005611672278338945,0.020202020202020204,0.002244668911335578,0.019079685746352413,0.010101010101010102,0.001122334455667789,0.0,0.005050505050505051,0.012906846240179574,0.0028058361391694723,0.002244668911335578,0.0,0.001122334455667789,0.002244668911335578,0.005611672278338945,0.003367003367003367,0.005050505050505051,0.0028058361391694723,0.0005611672278338945,0.008417508417508417,0.002244668911335578,0.02244668911335578,0.02356902356902357,0.003928170594837262,0.009539842873176206,0.0,0.0016835016835016834,0.0005611672278338945,0.0,0.001122334455667789,0.006172839506172839,0.003367003367003367,0.003928170594837262,0.0028058361391694723,0.0,0.0028058361391694723,11970,4
1443,0.5938271604938271,0.0024691358024691358,0.0024691358024691358,0.047736625514403296,0.0024691358024691358,0.05473251028806585,0.0102880658436214,0.002880658436213992,0.002880658436213992,0.004526748971193415,0.02633744855967078,0.008641975308641974,0.0069958847736625515,0.004526748971193415,0.0016460905349794238,0.00411522633744856,0.008641975308641974,0.00411522633744856,0.0069958847736625515,0.0024691358024691358,0.0032921810699588477,0.015637860082304528,0.002880658436213992,0.0411522633744856,0.0411522633744856,0.002880658436213992,0.028395061728395062,0.0049382716049382715,0.00411522633744856,0.005349794238683128,0.0,0.0024691358024691358,0.0032921810699588477,0.012345679012345678,0.01440329218106996,0.016049382716049384,0.00041152263374485596,0.0024691358024691358,12592,1
1444,0.514061943752225,0.002847988608045568,0.000355998576005696,0.041651833392666426,0.00177999288002848,0.04556781772872909,0.022071911712353152,0.001067995728017088,0.00355998576005696,0.009967960128159488,0.03346386614453542,0.01245995016019936,0.009611961552153792,0.003915984336062656,0.003203987184051264,0.00533997864008544,0.009967960128159488,0.003915984336062656,0.001067995728017088,0.00533997864008544,0.003915984336062656,0.031683873264506945,0.001423994304022784,0.0530437878248487,0.06016375934496262,0.00355998576005696,0.030615877536489856,0.002847988608045568,0.001423994304022784,0.007475970096119616,0.00355998576005696,0.002491990032039872,0.009255962976148096,0.023495906016375936,0.014951940192239232,0.009255962976148096,0.002847988608045568,0.006763972944108224,12789,1
