Zip,HOMEM,LA/RO,FORD,BUICK,CHEVR,DODGE,PORSC,INTER,ME/BE,JEEP,GMC,BMW,POLAR,KAWAS,HA/DA,VOLKS,CHRYS,VOLVO,LINCO,CADIL,NISSA,YAMAH,HONDA,TOYOT,AUDI,SUBAR,CA/ON,TESLA,MAZDA,FREIG,MITSU,LEXUS,HYUND,KIA,RAM,INFIN,ACURA,Median Income Per Person
12974,21,0,240,25,212,119,3,14,7,74,44,15,11,2,25,16,39,8,3,11,39,14,79,110,9,53,21,1,10,2,21,1,35,35,53,1,2,53827.0
10511,9,3,182,10,187,50,4,10,35,115,52,56,7,12,18,45,15,13,12,18,125,14,323,232,33,144,4,10,35,6,11,26,102,17,48,6,48,132708.0
12308,17,20,854,60,723,222,10,88,148,375,167,203,11,15,57,163,101,48,44,70,644,31,1231,886,77,346,21,14,134,32,90,118,357,421,112,110,121,56156.0
12851,5,0,49,3,51,6,0,7,1,20,22,3,12,5,11,4,3,2,1,1,9,4,31,38,4,27,4,0,3,1,6,1,7,6,14,0,1,90208.0
13090,62,30,1873,276,3161,553,22,46,235,1542,411,336,106,69,246,534,325,136,182,195,1493,150,2301,2438,210,1418,102,61,756,146,275,215,823,1290,521,106,179,85313.0
13659,13,0,86,6,87,21,0,16,1,33,28,3,36,13,14,21,7,1,5,0,16,17,42,45,5,35,11,0,1,1,4,0,5,11,38,1,0,57019.0
12463,13,3,155,17,213,55,2,2,15,87,80,14,18,4,34,46,18,14,5,17,71,10,121,126,10,141,13,2,20,1,3,6,49,34,35,2,7,59063.0
13312,9,2,77,5,94,10,2,0,4,26,22,5,44,7,10,11,5,4,1,3,7,25,73,37,3,23,5,3,6,2,0,1,12,5,12,0,2,68984.0
12064,3,0,82,6,81,21,1,0,0,29,22,5,11,3,15,5,4,2,4,3,23,4,33,41,1,29,5,0,3,0,2,1,26,7,17,0,1,47375.0
12919,59,2,478,51,536,80,3,36,15,106,135,10,20,11,46,14,29,11,10,16,104,42,184,220,11,98,53,1,21,14,34,0,111,86,64,0,10,73929.0
11369,0,94,6083,728,4418,2220,39,11,546,3506,1304,342,1,23,24,391,3007,69,151,531,3705,71,3337,6977,131,237,1,116,782,23,498,296,1150,3032,339,500,373,72342.0
12786,4,4,83,10,72,36,5,9,13,32,25,16,2,5,11,14,1,5,6,8,32,18,41,78,12,42,4,3,12,6,2,12,28,7,37,4,10,78750.0
14514,24,3,436,136,1015,108,5,24,41,225,182,64,20,14,47,74,67,24,16,36,260,28,543,554,28,277,22,18,125,25,35,55,180,171,85,28,42,73093.0
10463,1,82,765,93,579,198,39,7,604,807,113,550,0,24,34,378,139,214,75,123,968,43,3163,2828,260,1137,3,144,499,18,77,446,770,427,49,147,551,66780.0
11225,0,53,456,43,1013,143,19,9,310,337,93,316,0,24,16,186,180,99,51,67,966,15,1257,2040,127,356,4,78,166,6,257,242,533,359,32,150,186,82716.0
11412,2,67,738,68,626,273,26,7,711,578,168,698,1,19,34,189,135,51,71,167,1811,27,2027,2105,199,212,1,75,223,19,73,504,578,213,74,407,354,96094.0
10705,0,81,1169,72,923,299,48,9,559,920,209,545,4,28,53,264,164,96,67,133,1143,39,3546,2590,240,811,4,99,325,26,103,352,555,469,126,137,571,64387.0
11434,3,142,1472,138,1116,472,46,50,1089,894,272,936,1,38,46,269,204,104,145,301,2832,41,3270,3327,309,290,3,98,339,113,122,745,1025,446,107,567,579,71728.0
11235,3,198,1153,84,577,281,156,12,1277,653,133,1252,4,52,57,363,171,328,123,190,2072,93,2337,4311,420,443,2,357,629,155,92,1725,882,337,212,447,458,61320.0
10472,0,37,802,48,642,288,10,22,299,438,177,277,3,25,44,129,103,26,40,98,888,29,2197,2133,90,175,0,141,121,41,121,214,422,232,97,129,357,40025.0
