Zip,HOMEM,LA/RO,FORD,BUICK,CHEVR,DODGE,PORSC,INTER,ME/BE,JEEP,GMC,BMW,POLAR,KAWAS,HA/DA,VOLKS,CHRYS,VOLVO,LINCO,CADIL,NISSA,YAMAH,HONDA,TOYOT,AUDI,SUBAR,CA/ON,TESLA,MAZDA,FREIG,MITSU,LEXUS,HYUND,KIA,RAM,INFIN,ACURA,Median Income Per Person
12953,173,6,1733,221,1397,350,5,63,17,436,559,53,108,35,132,59,93,76,28,28,229,156,471,634,36,505,197,3,47,41,86,19,293,230,326,8,11,59191.0
12866,153,218,2727,295,2356,450,250,82,738,1541,728,1057,113,90,305,912,290,502,148,283,1342,207,4684,3586,745,2295,264,252,645,49,170,567,942,691,498,153,375,96678.0
14219,51,6,1843,161,1647,268,6,18,26,531,348,60,64,32,156,126,109,26,73,94,325,63,449,645,33,375,69,8,132,28,38,47,255,302,261,20,15,69892.0
11232,0,27,648,9,255,93,40,28,228,161,100,145,1,11,15,118,47,67,38,47,353,16,797,1238,51,193,2,41,98,58,42,120,152,95,89,49,85,79599.0
13126,289,20,2864,386,4719,938,23,136,129,2095,640,201,425,86,375,329,418,124,151,169,1177,240,1161,1696,114,1202,454,27,392,106,250,96,500,763,970,51,59,60475.0
13865,81,6,791,71,859,196,3,30,20,263,231,52,48,41,86,54,73,22,22,41,236,45,310,755,9,302,79,7,42,3,40,19,192,143,141,5,14,66906.0
11542,23,281,1469,88,1514,449,183,79,1019,1508,380,882,15,50,128,462,136,331,128,202,1680,72,2829,2457,393,1187,17,197,419,49,93,658,659,220,369,150,421,91774.0
11789,28,20,574,30,584,178,13,6,80,502,154,94,11,27,77,117,63,45,45,42,432,29,646,728,55,341,11,27,137,7,35,61,419,152,160,46,49,123794.0
14589,84,6,1058,111,1634,258,7,50,37,384,326,42,170,37,143,100,121,25,33,47,253,90,506,489,34,313,87,7,89,30,31,29,157,109,231,7,16,85609.0
12981,60,0,335,27,316,84,2,27,5,101,180,16,40,6,70,4,18,8,6,12,93,69,158,223,7,154,50,1,8,1,30,0,84,36,115,2,4,74830.0
12918,78,1,369,33,298,68,0,16,5,97,129,10,24,8,52,17,16,11,4,14,102,46,182,215,10,136,44,2,8,5,18,3,101,56,100,3,5,87045.0
10549,12,158,895,70,1055,127,175,22,429,727,250,825,24,20,62,280,53,226,38,93,406,25,1891,1894,433,942,24,254,269,19,57,466,305,143,161,64,332,119333.0
11704,40,91,2767,290,3194,939,69,469,876,2058,616,760,41,86,266,583,306,182,235,361,2910,138,4228,3400,258,966,21,141,641,217,135,532,2026,853,732,281,607,120147.0
12037,23,9,390,24,425,81,12,7,25,122,116,70,8,20,59,105,30,49,13,18,108,20,316,570,36,318,38,8,52,5,12,18,72,74,41,7,25,86650.0
14433,71,2,688,67,878,167,0,52,18,234,162,20,41,16,71,41,63,10,23,36,142,36,179,176,20,107,59,2,27,84,18,16,95,89,114,6,7,62443.0
14025,22,3,539,53,641,78,6,8,10,184,135,35,43,17,63,45,15,7,10,19,80,58,170,237,18,182,35,8,35,1,7,12,67,52,106,2,10,105303.0
11568,1,154,209,3,140,43,164,9,556,162,28,371,1,4,10,35,14,33,24,77,52,21,113,121,135,50,1,172,25,3,4,160,27,12,23,18,58,250001.0
14075,168,81,6721,681,5893,885,54,52,247,2570,1231,516,250,105,466,733,411,167,313,366,1401,276,2251,3101,240,2114,222,60,608,141,162,238,1102,1160,984,97,176,76691.0
14141,85,8,1454,112,1326,299,4,35,33,392,236,28,134,36,162,116,83,27,36,45,165,81,314,420,24,360,102,7,65,21,19,12,137,158,292,10,14,59948.0
12498,26,27,273,14,182,92,43,29,84,221,81,133,7,13,22,194,31,105,10,13,182,18,401,585,114,732,22,49,64,3,10,64,151,81,60,12,23,68438.0
14080,55,1,699,51,793,185,5,15,9,240,236,35,88,40,100,66,44,11,17,44,104,63,207,273,15,248,58,4,52,16,17,15,74,88,182,4,6,67250.0
12822,99,5,697,54,828,199,2,15,21,301,209,45,85,39,120,70,60,32,12,28,236,83,609,470,24,265,104,4,70,5,65,15,256,157,221,4,12,75000.0
14477,28,2,277,25,414,79,1,12,2,84,91,15,25,8,37,7,20,5,8,13,44,19,96,102,8,48,24,1,14,8,5,10,24,40,42,1,6,93021.0
12015,35,3,426,24,410,89,15,33,36,145,105,59,10,15,59,96,31,39,30,29,124,26,278,282,42,347,29,15,48,11,7,29,93,82,81,11,16,83197.0
13903,77,23,1224,168,1644,343,27,32,110,586,436,249,62,57,127,212,132,98,77,130,765,70,1147,2031,87,669,129,23,141,19,105,103,649,421,226,29,64,58100.0
10509,41,48,1601,100,1794,384,73,72,436,1022,538,540,51,51,173,424,88,170,70,138,672,74,2939,1939,320,1705,83,115,382,51,80,281,672,319,400,75,340,117586.0
14580,201,99,4576,943,7214,921,147,68,563,2301,1524,954,303,119,462,897,518,465,239,543,2813,515,4731,4795,460,2987,151,207,1060,166,228,681,1453,1139,744,259,434,90799.0
12477,107,35,1547,137,1572,678,38,108,182,1150,726,272,125,87,316,613,273,157,57,113,878,132,1435,1590,153,1404,111,82,253,104,35,130,694,485,589,40,81,71094.0
14086,118,57,4092,665,5855,731,51,98,260,1995,1304,439,136,74,411,636,322,164,222,357,1259,238,1929,2435,231,1304,159,81,508,161,95,258,1060,1138,738,152,182,95283.0
13905,67,23,1379,196,1793,407,35,24,169,543,364,268,43,47,103,279,193,126,82,135,957,55,1476,2566,98,823,79,38,207,25,107,168,759,520,195,57,99,51411.0
11757,82,105,3241,309,3717,1161,60,109,865,2770,588,697,44,126,374,807,381,164,272,394,2629,255,4373,3804,324,1263,23,170,703,137,189,580,2297,1092,924,316,602,117182.0
14042,36,1,616,36,769,207,0,17,4,219,153,15,38,10,104,41,67,2,6,25,86,38,113,160,8,119,56,1,21,36,8,6,61,80,153,3,4,53690.0
13620,35,1,462,24,314,79,0,12,1,80,105,6,64,21,17,46,27,5,1,9,64,51,195,161,2,61,49,0,10,4,25,5,31,38,78,0,0,56462.0
13752,6,2,119,9,93,33,2,6,6,40,34,4,4,9,10,14,6,6,2,4,41,6,53,66,5,70,11,0,7,1,4,6,16,10,28,0,2,64773.0
13459,23,4,300,24,292,92,4,15,8,130,100,29,27,6,48,38,29,32,6,4,73,12,147,158,8,88,30,2,21,6,13,8,50,45,72,4,6,63421.0
11901,154,81,3703,181,3082,840,43,123,442,1390,786,384,21,99,160,411,220,121,181,246,1841,125,3306,3902,175,704,60,85,413,62,156,304,1099,459,529,132,224,78857.0
12020,180,47,3386,451,3388,661,78,79,320,1578,1058,553,192,106,453,710,269,237,110,214,1649,282,4524,3033,292,1797,273,108,563,115,300,283,926,870,568,111,240,100653.0
12077,17,9,631,38,423,79,12,13,96,229,115,239,16,10,38,168,51,62,23,34,278,27,872,752,79,452,20,51,119,55,30,73,178,203,55,40,67,131000.0
13036,131,3,1084,106,1895,305,5,41,36,475,296,55,272,58,232,151,133,32,48,67,342,129,415,506,30,276,101,7,147,12,91,23,200,255,322,6,20,79681.0
14468,121,14,1934,394,3713,525,21,48,131,865,950,172,179,92,275,199,215,58,82,164,656,177,1349,1470,98,682,146,31,329,31,72,124,379,489,441,53,92,91485.0
14224,124,43,5407,838,6611,987,25,99,152,2357,1284,281,178,90,495,534,376,96,246,346,1480,187,2049,2570,120,1609,184,59,581,92,124,173,1161,1342,950,70,128,76475.0
14526,61,30,1505,309,2044,253,67,34,216,768,524,339,62,37,127,354,176,202,96,156,936,113,2318,2129,186,1208,59,103,421,59,74,308,464,493,220,121,197,107557.0
12058,14,3,188,13,248,67,1,3,21,65,66,26,23,19,50,34,16,5,6,9,60,7,117,116,7,108,23,0,17,3,6,5,35,39,44,5,5,80608.0
14031,49,69,1152,182,1381,219,75,30,199,512,358,362,65,29,101,203,105,95,75,151,313,88,587,979,92,358,55,48,152,40,21,128,255,271,193,67,67,91927.0
12932,19,0,332,21,171,68,3,16,3,88,31,15,15,8,16,11,16,10,3,4,59,10,65,117,6,76,34,0,5,11,12,3,15,26,97,0,1,57813.0
12901,378,35,2951,302,2604,610,33,109,142,1084,952,231,110,66,328,241,211,153,54,127,1214,301,2154,2406,154,1473,289,47,207,112,305,86,1379,858,753,25,80,57811.0
12603,79,88,3034,299,2706,809,85,142,804,1575,714,1132,73,105,312,805,299,367,143,328,2085,146,5926,3808,370,2659,128,202,975,102,126,394,1421,911,668,148,894,100761.0
13118,64,2,702,63,996,182,6,29,17,234,205,18,82,32,100,56,65,23,25,27,235,46,283,367,20,290,94,3,41,114,15,13,101,90,213,4,8,66202.0
12401,101,63,2313,230,2261,897,42,129,460,1547,792,523,59,103,253,914,320,263,92,141,2038,146,2800,2967,252,2190,147,101,372,59,82,224,1303,848,784,71,215,65289.0
12491,8,5,197,8,134,62,3,8,24,108,74,27,9,7,29,89,21,21,8,15,119,12,193,215,34,196,13,10,30,7,2,20,74,45,70,1,20,79861.0
11783,38,78,1520,190,1458,449,66,34,472,1529,385,406,30,49,158,391,166,95,188,268,1297,139,1974,1579,169,725,12,95,531,36,78,379,1013,403,506,171,382,157983.0
13031,64,20,1183,191,1705,314,23,13,145,860,345,199,78,37,166,317,163,141,131,98,640,81,1339,1546,143,1170,74,34,414,24,94,148,375,406,304,56,127,87663.0
11940,23,47,882,26,596,113,20,24,111,383,146,133,15,30,95,95,43,36,46,54,235,61,408,540,67,191,16,37,97,17,23,64,194,91,176,32,42,128598.0
14850,149,49,2311,169,2267,531,111,96,362,854,392,633,56,66,128,1016,275,1030,100,129,1541,110,4620,5403,553,3798,187,249,686,32,126,320,1038,732,369,51,189,64911.0
11729,41,94,2075,148,2074,545,50,105,635,1415,377,643,31,56,176,435,204,125,208,289,2064,82,3274,2807,229,618,14,183,469,57,104,451,1511,574,540,255,509,124704.0
13760,204,30,2726,471,3900,798,39,50,255,1329,905,592,76,106,283,526,378,232,177,353,2181,173,3167,5580,174,1783,282,51,376,33,249,278,1714,1167,466,69,170,60690.0
12061,37,15,843,63,906,127,26,33,98,384,210,173,56,27,89,197,70,55,40,69,381,47,1156,890,110,481,42,38,221,4,55,82,249,311,152,51,88,112488.0
14094,302,52,5345,1283,10174,1425,55,213,212,2370,2246,382,355,255,850,772,630,116,271,531,1686,334,2398,3000,144,1124,329,60,434,42,161,226,1099,912,1001,100,126,69489.0
14059,75,21,1804,193,1633,295,33,46,106,527,498,138,100,27,177,142,128,50,79,138,281,81,497,682,67,438,100,25,130,53,24,63,247,293,304,28,50,87686.0
14715,38,0,393,69,483,158,4,12,2,173,125,8,18,9,38,16,38,1,13,16,77,30,65,124,3,47,46,3,13,3,8,1,42,74,66,2,3,47177.0
12182,55,17,1345,94,1321,286,14,29,83,532,279,118,44,34,184,190,128,39,62,85,635,67,1206,785,54,487,56,15,147,22,119,93,286,455,160,50,73,54190.0
12436,9,1,52,7,63,19,2,2,4,18,90,8,5,0,23,12,4,3,4,2,22,3,34,35,6,53,7,3,4,1,1,2,11,14,18,3,3,51250.0
11751,36,49,1761,65,1306,282,49,138,289,952,283,270,35,31,104,276,115,72,115,117,764,70,1296,1186,131,439,7,69,294,110,41,176,746,331,303,75,222,114185.0
13021,205,29,3370,406,5563,850,36,215,184,1808,981,249,235,134,379,325,399,137,210,225,1753,220,2344,2522,153,1667,351,38,362,197,175,153,615,633,800,48,107,56649.0
11779,90,83,3579,201,3307,916,72,85,722,2209,705,579,46,92,364,607,320,134,252,327,2666,139,3680,3435,242,1114,31,201,784,93,237,413,2301,1117,978,255,435,113355.0
12550,58,103,3867,329,2906,1140,92,176,964,2004,864,1015,60,129,313,688,358,278,269,405,3137,131,5644,5036,350,1746,157,125,654,111,198,541,1648,1382,758,216,857,73148.0
11768,56,249,1589,123,1407,319,233,33,869,1564,419,918,40,64,154,561,134,299,163,220,724,123,1752,1564,513,1295,17,271,524,40,42,470,538,320,382,158,330,162475.0
14894,12,0,162,14,191,62,2,3,7,60,54,7,4,7,17,10,18,3,4,4,109,12,45,65,10,46,23,1,6,0,14,3,36,17,29,2,1,55556.0
14428,60,8,902,190,2015,201,11,50,46,345,384,85,84,30,156,83,109,46,31,69,297,79,685,727,34,406,71,16,164,17,24,53,168,173,171,19,26,79542.0
12814,14,6,221,15,197,22,17,3,41,106,70,39,15,12,31,40,9,15,5,24,38,75,165,149,24,132,32,4,18,2,9,20,47,31,43,2,13,97321.0
12788,15,4,233,14,264,86,6,10,26,116,66,37,32,7,47,36,9,11,10,18,85,14,138,167,13,110,33,5,24,3,18,12,77,56,70,6,21,72875.0
11758,47,238,3627,456,3671,1063,238,77,1441,3888,944,1253,68,117,402,1017,439,339,449,726,3381,452,4722,4136,683,1581,29,299,1075,52,170,1146,2450,1027,1084,633,1024,146410.0
13733,75,2,599,61,819,232,2,22,24,239,243,30,31,27,85,46,79,11,28,33,196,36,243,407,11,301,94,6,41,7,37,7,128,87,173,1,12,56841.0
13440,258,23,3398,503,4164,918,30,74,186,1778,1113,298,536,152,468,1007,438,133,193,207,1367,214,1832,2476,158,1316,390,44,521,148,898,123,1008,831,742,66,98,62141.0
14814,17,3,249,29,218,57,2,7,15,62,73,23,7,12,24,19,32,14,17,4,162,14,158,200,15,101,38,2,22,2,25,14,77,34,64,10,9,95598.0
14872,13,0,68,6,60,28,0,1,0,27,28,7,1,2,12,3,6,1,2,5,35,8,21,57,1,16,10,0,4,0,5,1,20,12,11,0,3,56339.0
12009,50,18,858,58,858,174,23,18,86,307,228,135,99,32,144,173,73,66,25,38,325,49,975,795,67,542,53,50,135,8,37,65,179,214,169,24,56,106563.0
13060,20,1,341,36,442,79,0,12,3,141,100,20,42,14,55,40,27,21,18,9,126,20,144,192,12,155,37,7,29,10,14,10,58,52,72,4,7,56284.0
13363,35,1,299,34,298,89,2,3,12,147,107,20,158,13,66,64,20,10,11,14,52,32,129,165,6,83,36,2,30,2,61,6,47,33,74,3,2,87838.0
11727,56,66,1884,130,1963,601,33,23,518,1354,418,556,19,59,172,373,218,83,135,214,2146,80,2699,2556,209,699,17,125,541,161,171,406,1882,715,434,276,338,93042.0
13662,160,10,1722,373,2819,464,10,77,50,735,810,54,249,41,227,104,214,33,48,139,300,171,449,863,31,515,128,17,79,39,91,41,236,248,452,12,13,54359.0
14120,190,50,4655,1038,8166,1019,38,77,227,2099,1490,338,236,154,605,664,498,103,251,485,1425,317,2359,2818,152,1267,192,53,513,51,124,298,1312,1118,900,113,167,77888.0
13308,47,1,532,50,523,145,1,8,10,182,167,25,151,23,73,68,51,10,18,30,96,39,136,188,16,131,68,3,33,10,86,10,69,67,111,5,5,82174.0
13028,25,0,200,13,259,59,1,9,2,70,59,10,56,8,57,19,20,5,3,8,55,34,59,58,0,57,22,0,16,4,21,2,21,42,43,0,0,87356.0
12915,3,0,23,0,8,6,0,7,0,6,8,0,4,0,0,1,0,1,0,2,1,7,7,7,1,12,1,0,0,0,0,0,1,4,2,0,0,34375.0
13797,37,0,242,21,346,93,2,17,8,89,49,14,28,8,17,28,32,15,2,11,113,25,114,183,3,96,31,1,22,2,15,3,52,47,54,6,7,61722.0
10710,5,127,1282,111,965,288,74,23,811,1233,241,831,4,37,96,360,111,142,155,244,1120,64,3079,2234,317,1108,2,150,404,42,86,589,674,493,177,173,605,97941.0
11740,23,67,623,55,615,121,40,27,256,634,172,256,18,9,43,204,42,98,59,89,462,25,966,751,162,429,6,95,251,8,29,149,358,174,156,54,165,144911.0
10305,6,124,1525,145,1040,431,140,13,1236,1116,364,993,8,42,134,754,190,148,195,261,2007,55,3000,3434,464,707,7,244,715,102,120,1156,1297,628,267,345,427,84764.0
12816,54,6,564,28,520,115,7,47,19,180,114,36,22,30,67,111,44,40,9,12,144,39,432,488,26,406,55,7,52,28,19,17,128,76,98,6,13,70260.0
13088,47,16,1415,255,2492,462,29,182,172,1090,439,184,81,52,163,433,213,99,157,176,1000,76,1870,1961,133,1080,64,44,492,151,238,130,624,737,406,55,112,70180.0
14830,145,14,1892,273,1991,553,34,42,101,846,556,186,63,52,185,251,261,115,95,88,1091,130,1058,1676,134,1089,212,41,178,11,170,94,595,310,378,39,43,74314.0
11743,63,604,2900,194,2445,555,498,102,2049,3088,665,1994,63,98,211,1032,182,695,357,399,1663,115,3693,3157,1129,1998,22,580,937,50,96,913,1079,541,594,257,767,164182.0
12198,44,10,821,58,939,171,18,26,84,395,215,151,64,37,142,144,69,42,30,64,308,49,874,633,55,401,46,20,173,7,40,40,187,249,153,44,36,99402.0
13407,54,3,642,39,730,152,2,7,10,269,151,25,90,23,144,101,53,21,14,25,204,42,294,299,19,209,91,3,56,23,57,18,158,108,141,2,7,70185.0
14560,56,1,284,22,377,104,1,9,5,107,79,11,50,7,67,18,30,7,4,10,78,35,134,220,7,141,58,1,16,3,12,8,32,45,69,1,2,70679.0
12082,0,0,45,2,19,12,0,12,2,10,7,1,5,0,7,3,1,0,1,1,6,2,23,16,1,23,2,0,1,0,1,2,2,6,5,0,1,
14505,97,3,826,72,1075,187,0,22,7,200,250,24,114,27,164,58,59,13,17,24,182,68,325,388,11,202,77,4,59,19,20,12,131,111,134,7,11,72115.0
13624,81,3,600,39,654,144,7,24,22,284,222,45,83,31,45,118,39,25,25,30,93,103,345,312,28,176,108,6,36,9,28,25,86,117,209,7,8,79313.0
12528,46,23,1183,110,1041,331,22,105,164,584,304,267,36,66,138,296,116,98,52,111,751,68,1459,1333,94,1048,76,61,300,21,38,79,517,321,304,30,196,84754.0
14424,189,30,3177,419,3500,640,86,70,170,1166,1032,316,170,111,326,380,322,190,85,228,986,196,2035,2616,207,1538,326,71,500,93,78,206,892,774,496,63,115,75481.0
12136,6,7,112,6,105,9,9,7,21,32,28,41,1,2,9,17,2,25,2,7,22,5,73,124,34,89,7,9,25,0,1,7,10,15,21,0,3,150114.0
13660,43,0,284,41,384,85,1,18,3,85,89,6,54,4,33,26,19,10,5,8,25,37,75,136,1,79,56,2,13,6,6,3,27,29,75,0,3,69250.0
13329,37,0,530,30,567,142,1,12,3,171,92,20,107,14,98,100,37,12,8,15,124,42,200,206,42,134,64,3,32,6,34,0,96,72,89,5,5,55388.0
12138,32,5,431,30,362,99,5,18,14,149,89,34,31,26,67,52,20,11,7,17,132,29,239,286,10,265,34,10,29,3,20,12,44,57,74,5,7,69271.0
13033,73,2,533,49,810,165,3,23,12,211,150,21,84,18,74,29,53,8,17,23,128,57,184,236,9,153,58,4,34,11,15,8,65,73,156,2,5,75300.0
14623,48,27,4274,253,2671,571,27,126,166,621,477,186,55,47,174,280,296,148,68,125,1148,82,1653,2185,100,983,75,85,456,644,96,208,611,514,1029,63,111,58217.0
11771,12,211,928,29,643,150,225,302,662,688,144,594,18,20,53,219,40,172,67,122,385,61,668,627,247,401,6,179,162,8,26,212,215,90,129,50,126,149577.0
11361,4,61,711,66,583,185,98,6,875,660,139,619,2,14,55,366,91,162,51,113,1001,34,1922,2256,283,745,7,207,328,21,54,778,690,244,116,151,385,102343.0
12839,131,10,1300,106,1586,339,3,59,52,617,390,60,91,88,288,177,131,26,26,81,577,76,1014,862,41,451,152,9,126,14,77,28,696,396,326,19,16,62035.0
10977,21,97,3010,131,1718,407,59,75,800,948,442,706,6,41,42,289,236,185,141,165,2179,37,6275,8308,252,908,17,197,711,114,156,618,1628,739,312,201,646,67252.0
12302,139,27,2436,251,2477,548,40,54,189,1109,762,346,119,63,368,566,259,171,90,167,1063,205,4303,2063,192,1641,169,64,392,37,219,182,732,822,485,113,151,89468.0
14066,15,0,226,14,218,59,0,17,1,60,43,5,31,8,24,11,17,3,5,8,24,8,28,61,1,28,4,0,4,40,4,3,24,10,41,1,0,71607.0
10306,29,166,2438,213,1935,656,152,19,1385,1978,596,1290,16,70,259,895,301,242,396,428,3152,102,4050,4284,538,1124,19,343,1280,45,162,1514,2271,1021,487,462,592,94758.0
14425,46,14,1202,186,1606,256,11,30,53,577,359,100,41,32,93,176,113,59,46,77,638,70,1009,1191,58,734,106,38,227,203,44,74,479,487,222,28,80,86422.0
11755,19,48,843,74,873,232,28,9,312,680,202,317,11,33,100,263,91,63,99,118,697,32,1148,887,113,369,8,121,264,9,47,267,556,348,215,119,184,121196.0
12524,26,31,1167,100,938,248,39,44,332,640,238,368,39,47,131,345,92,145,55,104,835,52,1770,1606,148,1055,43,63,361,27,54,187,844,291,275,49,391,90654.0
10965,25,36,1239,110,788,160,24,19,314,752,221,280,10,18,101,299,62,104,109,93,758,30,2035,1609,180,965,24,55,342,4,24,264,557,247,230,75,228,130610.0
11780,38,124,1225,86,1099,220,180,32,786,1056,330,789,25,47,140,333,90,195,160,240,743,83,1231,1124,288,691,14,195,327,39,44,450,473,315,361,211,275,151971.0
12589,70,27,1509,110,1387,373,22,47,302,582,346,265,88,78,238,317,126,97,84,106,816,83,1686,1853,103,841,137,51,217,76,72,143,583,406,353,37,220,112862.0
13108,45,2,644,66,774,119,16,19,29,284,176,67,66,22,90,133,61,72,28,26,214,49,470,632,47,479,68,12,106,20,29,40,131,139,151,17,27,87632.0
14072,117,51,2167,370,3534,483,78,27,275,968,674,370,173,89,225,361,213,104,191,323,702,231,1128,2014,169,802,78,70,304,32,60,312,869,540,445,119,131,103186.0
12180,161,67,3510,281,3579,690,55,202,416,1623,795,635,139,111,364,851,325,232,132,269,1858,159,4661,3084,305,2264,98,102,768,43,228,284,1036,1312,560,238,277,68766.0
12549,20,26,1226,93,975,247,24,45,152,422,258,178,48,29,121,196,86,83,85,121,504,67,1082,1047,73,478,48,43,198,49,53,105,489,287,261,20,153,112850.0
13904,36,5,755,99,942,239,9,33,35,270,226,83,34,23,87,114,97,27,45,58,384,33,486,1146,29,262,70,10,76,62,59,44,280,218,125,7,21,53352.0
12186,27,17,631,50,727,120,28,55,98,277,163,179,64,20,65,151,56,86,26,49,259,35,836,687,58,475,45,37,136,5,29,73,133,190,101,42,49,113684.0
13030,47,1,416,53,674,151,8,8,34,238,150,40,101,27,79,62,70,17,30,31,137,64,207,290,18,149,52,5,68,2,49,13,80,124,169,9,10,75972.0
12148,25,18,398,38,413,71,32,6,104,214,126,153,25,13,42,120,45,42,16,40,142,33,689,561,81,285,47,41,77,3,34,80,109,118,71,41,65,146786.0
14098,53,3,384,53,723,133,3,14,4,127,140,6,32,13,66,19,41,3,4,17,63,35,129,145,8,80,49,1,19,13,7,4,60,48,84,2,2,64009.0
12421,3,3,68,8,35,16,5,1,13,35,13,15,8,9,4,12,2,4,3,8,16,5,38,47,10,54,5,1,14,0,1,5,11,5,8,1,2,85625.0
13069,275,6,2468,255,3854,985,12,107,66,1553,670,119,399,100,349,241,365,74,85,122,1011,211,803,1005,51,752,358,10,256,57,240,46,421,739,841,26,46,59318.0
14522,109,5,1199,126,1615,286,5,27,23,377,352,60,101,34,240,100,120,26,23,53,336,105,530,684,24,416,103,6,120,32,41,34,229,246,210,14,28,78716.0
11720,76,51,2151,156,2226,637,50,18,425,1555,477,524,28,78,235,445,211,110,156,269,1878,115,2695,2599,238,877,25,217,554,28,136,421,1886,645,563,233,352,123603.0
11935,30,31,611,25,442,126,36,16,139,318,113,138,4,10,35,84,45,72,28,50,109,18,296,386,89,173,15,28,75,22,8,47,59,39,139,9,28,126071.0
14610,20,43,812,143,953,141,89,15,178,458,162,290,14,20,49,350,79,229,53,88,487,55,1216,1340,193,1054,9,74,291,6,45,185,298,269,85,61,92,78378.0
11379,8,78,964,119,928,305,44,19,683,1038,204,594,11,47,140,520,136,143,91,222,1330,72,2353,1988,301,766,8,152,478,27,95,469,795,331,160,139,416,89500.0
13029,61,6,650,108,1230,227,17,38,56,414,257,82,158,40,97,152,89,22,46,64,258,102,415,546,63,245,55,16,149,44,82,40,154,258,249,13,27,91650.0
14228,43,44,1689,330,2139,357,43,15,241,820,463,330,39,34,129,343,168,95,122,202,830,75,1427,1810,150,729,27,84,368,43,64,269,726,551,248,91,136,70960.0
11215,3,118,625,52,302,108,87,17,322,409,112,541,2,16,44,602,64,509,27,27,539,26,1890,1877,431,1653,2,204,534,13,28,276,474,320,59,62,180,173899.0
10312,22,244,3038,318,2362,754,181,23,1583,2723,756,1336,24,81,303,1006,271,274,734,663,3825,119,4250,4100,624,1160,18,390,1540,41,193,1523,2801,1230,592,660,665,107414.0
13634,73,3,541,40,495,141,2,12,10,231,135,16,69,22,91,80,48,9,16,22,116,73,301,342,11,141,102,0,25,32,52,10,87,144,237,3,7,85000.0
14895,98,7,1240,226,1594,500,9,53,33,429,441,38,51,18,119,65,133,14,45,67,327,80,208,434,16,221,147,4,42,16,28,13,130,183,288,7,9,56250.0
13074,64,0,640,63,759,219,3,10,7,251,135,22,96,23,89,32,58,8,25,21,164,51,139,180,7,118,86,2,37,10,35,3,58,129,194,3,5,73804.0
10528,5,116,694,88,577,97,118,18,473,701,186,522,9,13,83,192,52,153,65,80,340,34,939,933,354,563,6,151,243,14,26,367,275,136,102,94,271,143559.0
13464,23,0,175,8,198,52,0,6,3,62,51,1,4,8,18,8,13,5,3,2,35,7,33,57,5,56,24,0,10,0,8,0,9,16,43,1,0,53788.0
12545,19,38,400,14,584,106,39,24,120,209,87,138,18,11,31,115,28,82,16,26,119,18,456,306,85,398,31,30,82,22,11,32,91,71,78,5,35,87083.0
14223,46,17,1816,370,3187,359,18,15,123,1023,442,180,31,25,154,437,187,70,107,192,760,89,1295,1792,81,1042,22,27,388,14,63,165,833,681,280,50,88,81884.0
11754,32,41,1438,121,1427,394,55,96,416,1094,327,417,34,37,157,342,112,120,122,184,1086,85,1827,1578,198,850,11,109,411,38,59,310,728,440,400,137,274,119929.0
12590,82,66,2573,322,2715,752,51,62,735,1425,663,793,81,137,323,696,282,256,134,275,2100,166,4474,3916,332,2382,158,147,834,39,111,340,1692,763,622,131,901,102212.0
14760,106,12,1551,420,2396,593,12,40,59,920,840,93,79,52,233,150,251,54,78,162,566,70,571,1064,30,539,181,13,99,6,56,63,305,618,406,22,29,49705.0
14739,44,1,378,57,532,148,1,11,5,142,145,2,22,9,52,19,47,1,14,23,103,28,62,96,7,70,44,0,16,8,10,1,34,75,105,1,0,48922.0
14132,70,4,845,158,1385,186,3,50,23,291,321,45,95,33,143,92,73,14,33,75,148,54,259,332,14,114,45,4,40,20,15,21,130,110,220,11,14,88444.0
14170,41,5,426,31,407,66,3,3,20,127,134,43,27,10,59,36,29,14,12,19,66,20,149,175,11,171,31,4,28,3,10,11,43,42,76,4,7,93403.0
13606,44,1,356,23,366,87,0,24,6,106,108,6,49,10,56,62,27,8,6,12,74,25,142,292,4,99,45,2,21,12,32,1,52,69,112,0,1,90625.0
14568,66,6,786,75,1131,135,2,20,28,242,207,32,105,25,120,95,54,22,24,26,282,55,508,521,25,327,54,10,99,24,25,24,141,147,157,15,23,100491.0
11010,12,81,1504,158,1424,388,42,33,511,1209,364,495,15,30,189,400,181,127,162,243,1476,61,2228,2084,254,617,9,147,508,39,77,414,1049,325,280,157,343,136378.0
14513,112,10,1723,232,2134,437,9,49,44,523,466,81,84,41,302,118,146,37,52,97,498,123,728,805,48,402,144,10,129,38,45,38,333,390,255,14,38,58595.0
11934,48,45,1181,43,935,216,28,25,192,543,239,191,26,55,93,172,59,54,56,107,437,111,743,796,76,287,14,52,135,19,28,88,309,199,300,41,70,145275.0
14070,54,3,826,74,854,179,2,8,13,248,179,17,45,26,170,44,66,5,30,42,111,52,152,256,17,154,62,3,27,25,18,9,88,88,149,4,7,54500.0
11961,39,21,1240,99,1129,309,16,13,177,690,217,180,22,48,158,184,118,55,91,129,807,60,1210,1450,56,498,14,50,254,4,54,141,913,312,267,74,98,85916.0
12993,25,6,351,16,194,55,2,8,7,75,64,21,9,3,14,32,16,17,4,11,51,15,93,172,13,109,29,9,9,3,14,5,37,25,67,0,1,63636.0
