placeDcid,placeName,Date:Count_Person,Value:Count_Person,Source:Count_Person,Date:Median_Income_Household,Value:Median_Income_Household,Source:Median_Income_Household,Date:Median_Income_Person,Value:Median_Income_Person,Source:Median_Income_Person
zip/13136,13136,2022,329,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,39779,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,26500,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13138,13138,2022,139,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,2022,25978,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13140,13140,2022,4335,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,58750,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,33515,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13142,13142,2022,6044,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,86554,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,35391,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13143,13143,2022,2354,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,70368,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,34420,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13144,13144,2022,1323,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,47857,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,19516,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13145,13145,2022,1595,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,44554,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,30000,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13146,13146,2022,2176,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,59545,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,27612,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13147,13147,2022,929,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,71083,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,29907,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13148,13148,2022,10854,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,56365,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,33394,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13153,13153,2022,337,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,137586,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,41964,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13154,13154,2022,34,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,2022,33750,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13155,13155,2022,567,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,63229,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,33533,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13156,13156,2022,2169,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,59521,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,32787,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13157,13157,2022,535,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,43029,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,31364,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13160,13160,2022,2262,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,91058,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,36925,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13162,13162,2022,409,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,82717,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,34712,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
